indicator,avg_r2,max_r2,best_horizon
rsi_14,0.0001483184819430633,0.00027188242705900034,10
price_position_20,0.00014750086981848987,0.00036517743370656497,15
vol_adj_mom,0.00012439524923715806,0.00031767590791131894,15
bb_position,0.0001200780504589799,0.000309371316621454,15
rsi_overbought,0.00010283783632109023,0.00015213543460179668,10
rsi_7,8.42609796972843e-05,0.00027736397047284367,15
rsi_21,5.84215717488179e-05,0.0001245472272606296,30
price_position_50,5.6010506292586415e-05,0.00014227496988017396,10
macd_hist,4.096498134671667e-05,0.00023712951515908465,30
sma5_to_sma20,2.644536528272068e-05,9.70621237990077e-05,30
